viz-id ra dec g r z


dw1859m6402-refstar 284.8642330 -64.0352183 0 0 0
dw1859m6402-offset1 284.8428285 -64.0420584 0 0 0
dw1859m6402-offset2 284.8493870 -64.0445488 0 0 0
dw1859m6402-offset3 284.8802126 -64.0391949 0 0 0

dw1903m6405-refstar 285.9187021 -64.0977245 0 0 0
dw1903m6405-offset1 285.9011453 -64.1013844 0 0 0
dw1903m6405-offset2 285.8922175 -64.0968811 0 0 0
dw1903m6405-offset3 285.9319512 -64.1003974 0 0 0
dw1903m6405-offset4 285.9232709 -64.1088526 0 0 0

dw1912m6432-refstar 288.1063482 -64.5396653 0 0 0
dw1912m6432-offset1 288.0933008 -64.5456557 0 0 0
dw1912m6432-offset2 288.0896807 -64.5427779 0 0 0
dw1912m6432-offset3 288.0875647 -64.5382264 0 0 0
dw1912m6432-offset4 288.1074271 -64.5497219 0 0 0

40777-refstar 337.3067 -1.2109 19.98 18.39 16.30
40777-offset1 337.2813 -1.2217 17.76 16.42 15.68

82230-refstar 340.1706 3.1785 23.76 22.02 20.23
82230-offset1 340.1666 3.1682 17.69 16.95 16.54
82230-offset2 340.1617 3.1526 18.95 17.46 15.92

79982-refstar 346.2373 1.8372 18.98 18.52 18.32
79982-offset1 346.2416 1.8224 18.60 17.79 17.39

21534-refgal 350.3659 0.4676 20.18 19.60 19.20
21534-offset1 350.3705 0.4829 17.81 17.33 17.17
21534-offset2 350.3399 0.4507 18.79 17.74 17.20

75212-refstar 32.2856 -6.3025 21.02 19.71 18.84
75212-offset1 32.2952 -6.2984 15.17 14.60 14.42
75212-offset2 32.2553 -6.3123 19.14 18.78 18.67

75570-refstar 32.7748 -2.9754 23.16 21.62 19.88
75570-offset1g 32.7960 -2.9715 17.48 16.48 15.79
75570-offset2 32.7423 -2.9973 20.81 19.30 18.03

45406-offset1 35.3536 -5.3667 17.59 16.21 15.26
45406-offset2 35.3547 -5.3506 18.50 17.67 17.27

86749-offset1 35.4132 -5.4543 17.69 16.33 15.46
86749-offset2 35.3758 -5.4727 16.63 15.27 14.40
