viz-id ra dec g r z
40777-offset1 337.3067 -1.2109 19.98 18.39 16.30
40777-offset2 337.3480 -1.2038 15.96 15.24 14.95

82230-offset1 340.1666 3.1682 17.69 16.95 16.54
82230-offset2 340.2023 3.1544 11.52 10.94 10.94

79982-offset1 346.2416 1.8224 18.60 17.79 17.39
79982-offset2 346.2231 1.8689 13.94 13.64 13.77

21534-offset1 350.3705 0.4829 17.81 17.33 17.17
21534-offset2 350.3800 0.4737 13.52 13.16 13.12

75212-offset1 32.2952 -6.2984 15.17 14.60 14.42
75212-offset2 32.2553 -6.3123 19.14 18.78 18.67

75570-offset1g 32.7960 -2.9715 17.48 16.48 15.79
75570-offset2 32.7933 -3.0199 13.24 13.63 13.05

45406-offset1 35.3536 -5.3667 17.59 16.21 15.26
45406-offset2 35.3224 -5.3563 15.41 15.08 15.01

86749-offset1 35.4551 -5.4455 14.42 13.86 13.73
86749-offset2 35.3758 -5.4727 16.63 15.27 14.40
