viz-id ra dec g r z

dw1859m6402-refstar 284.8642330 -64.0352183 0 0 0
dw1903m6405-refstar 285.9187021 -64.0977245 0 0 0
dw1912m6432-refstar 288.1062979 -64.5396919 0 0 0
40777-refstar 337.3067 -1.2109 19.98 18.39 16.30
82230-refstar 340.1706 3.1785 23.76 22.02 20.23
79982-refstar 346.2373 1.8372 18.98 18.52 18.32
21534-refgal 350.3659 0.4676 20.18 19.60 19.20
75212-refstar 32.2856 -6.3025 21.02 19.71 18.84
75570-refstar 32.7748 -2.9754 23.16 21.62 19.88
45406-refstar 35.3448 -5.3536 20.55 19.17 18.17
86749-refstar 35.4132 -5.4543 17.69 16.33 15.46
